state_abbreviation,beneficiaries,services,medicare_payments
CA,34155154,380605643.2,15515561113.86
FL,29221303,374407372.0999999,12003491645.52
TX,24434786,279760168.5000001,9690709194.26
NY,23050569,196314881.60000005,7426551314.12
IL,15282421,144170478.70000002,4872599372.23
NJ,13968752,155759980.80000004,4779670720.14
PA,17019840,158774442.5,4691631526.89
AZ,8494698,97730456.10000002,3637294309.77
MD,9337389,107518810.4,3400894849.36
NC,12811611,109608734.09999998,3263885974.93
VA,10679252,97512055.2,3214180680.44
OH,13120615,89220457,3162525880.30
GA,9824557,93795908.59999998,2986171257.48
MA,11847528,71471266.29999998,2838724424.47
TN,8798574,94279434.30000001,2764216584.01
MI,9067378,64934708.099999994,2518938194.02
SC,6872054,70866022.9,2208865057.41
IN,7112687,73216316.3,1973108293.33
WA,6906554,51342996.9,1961913430.44
CO,5431194,51745960,1783590984.00
MO,6896985,54555546.099999994,1732897020.81
AL,5088126,59387469.69999999,1637148000.89
WI,6536263,37532945.8,1539030917.01
OK,4375443,40762630.5,1477341537.47
MN,6266492,47041870.900000006,1435189331.60
NV,2815161,33666188.4,1339613919.65
LA,4197557,38928101.800000004,1314733790.74
KS,4244218,41792526.5,1246353019.74
MS,3446340,37291215.699999996,1234009643.44
AR,3529210,39532838.900000006,1215902620.66
KY,4594431,35527006.49999999,1210204980.31
CT,4175740,27551306.300000004,1115966344.17
OR,3358809,32457262.4,1077458474.93
IA,3526417,31672549.1,975475489.11
UT,2146073,20139646.4,815595172.59
NE,2501129,27458854.2,765987557.47
ID,2176382,13084746.9,614256833.59
DE,1775044,15361640.2,555158416.13
NM,1604622,14437763.5,495041856.61
NH,2058977,11383691.2,446519845.76
WV,1807763,9841129.399999999,394750838.75
MT,1227743,7194259.9,314984520.89
SD,1205873,12843672.3,308676220.14
ME,1308344,9624317.7,296076506.27
DC,962805,7089637.9,287067015.04
AK,719535,7337367.899999999,287047895.16
RI,1245313,7338806.3,278457196.62
HI,986667,6727154.699999999,264054339.32
ND,1049605,7112961.799999999,235246282.95
WY,567946,5822381.1,183586443.95
VT,719309,3542011.0999999996,144645324.98
PR,272183,2339325.4,74970320.90
GU,56096,630353.5,21820588.76
VI,39656,408697.5,12907717.17
XX,8388,188571,5047745.50
AE,10403,39063.6,3243695.59
AP,18750,66426,2341684.04
ZZ,14255,40754,2274705.24
MP,3507,16709.5,1453808.13
AA,13053,23908,792998.23
FM,56,464,38936.34
AS,47,53,3336.22
