location_key,city,state_abbreviation,state_fips,zip_code,ruca_code,ruca_description,country
1,Bethesda,MD,24,20817,1.0,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",US
2,Evanston,IL,17,60201,1.0,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",US
3,Toledo,OH,39,43623,1.0,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",US
4,Mentor,OH,39,44060,1.0,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",US
5,Aurora,CO,08,80045,1.0,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",US
6,Quakertown,PA,42,18951,1.0,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",US
7,Tulsa,OK,40,74104,1.0,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",US
8,Los Angeles,CA,06,90095,1.0,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",US
9,Mount Vernon,OH,39,43050,4.0,"Micropolitan area core: primary flow within an urban cluster of 10,000 to 49,999",US
10,Fort Myers,FL,12,33907,1.0,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",US
11,Houston,TX,48,77030,1.0,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",US
12,Portland,OR,41,97227,1.0,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",US
13,Denver,CO,08,80230,1.0,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",US
14,Louisville,KY,21,40212,1.0,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",US
15,Hartsville,SC,45,29550,5.0,"Micropolitan high commuting: primary flow 30% or more to a urban cluster of 10,000 to 49,999",US
16,Beaver,PA,42,15009,1.0,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",US
17,Henderson,NV,32,89014,1.0,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",US
18,Danville,IL,17,61832,1.0,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",US
19,Evans,CO,08,80620,1.0,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",US
20,Kyle,TX,48,78640,1.0,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",US
21,Maryville,MO,29,64468,4.0,"Micropolitan area core: primary flow within an urban cluster of 10,000 to 49,999",US
22,El Centro,CA,06,92243,1.0,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",US
23,Syracuse,NY,36,13210,1.0,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",US
24,Waxahachie,TX,48,75165,1.0,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",US
25,Kensington,MD,24,20895,1.0,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",US
26,Sacramento,CA,06,95816,1.0,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",US
27,Turnersville,NJ,34,08012,1.0,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",US
28,Long Beach,CA,06,90804,1.0,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",US
29,Vinton,VA,51,24179,1.0,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",US
30,Fremont,CA,06,94538,1.0,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",US
31,Hamilton,NJ,34,08690,1.0,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",US
32,Willoughby,OH,39,44094,1.0,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",US
33,Boynton Beach,FL,12,33437,1.0,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",US
34,Barksdale Afb,LA,22,71110,1.0,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",US
35,Dallas,TX,48,75251,1.0,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",US
36,Gray,TN,47,37615,1.0,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",US
37,Weymouth,MA,25,02190,1.0,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",US
38,Portland,OR,41,97213,1.0,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",US
39,Washington,MO,29,63090,4.0,"Micropolitan area core: primary flow within an urban cluster of 10,000 to 49,999",US
40,Lake Jackson,TX,48,77566,1.0,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",US
41,Rochester,NY,36,14642,1.0,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",US
42,New York,NY,36,10016,1.0,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",US
43,Maryville,TN,47,37801,1.0,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",US
44,Sonora,CA,06,95370,4.0,"Micropolitan area core: primary flow within an urban cluster of 10,000 to 49,999",US
45,Pittsburgh,PA,42,15212,1.0,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",US
46,New York,NY,36,10011,1.0,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",US
47,Greenville,SC,45,29615,1.0,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",US
48,Brighton,CO,08,80601,2.0,"Metropolitan area high commuting: primary flow 30% or more to a urbanized area of 50,000 and greater",US
49,Camp Pendleton,CA,06,92055,1.1,"Secondary flow 30% to <50% to a larger urbanized area of 50,000 and greater",US
50,Newaygo,MI,26,49337,3.0,"Metropolitan area low commuting: primary flow 10% to <30% to a urbanized area of 50,000 and greater",US
51,Summit,NJ,34,07901,1.0,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",US
